namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,tombstoneText,Tombstone Text,A reason why the Digital Object was tombstoned,,,"This is a duplicate of XXX, This object was made by mistake",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,True,False,TombstoneMetadata.tombstoneText,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/tombstoneText,ods:tombstoneText,string,
ods:,TombstonedByAgent,Tombstoned By Agent,"The agent who tombstoned the object, contains an ods:Agent object",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,True,False,TombstoneMetadata.TombstonedByAgent,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/TombstonedByAgent,ods:TombstonedByAgent,object,
ods:,hasRelatedPID,Has Related Pid,The PIDs of the object the tombstoned object is related to,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,False,False,TombstoneMetadata.hasRelatedPID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/hasRelatedPID,ods:hasRelatedPID,array<object>,
ods:,Agent,Agent,"A generic agent class, containing information about the actor who performed an activity. This could be a person, an organization or a machine.",,,,http://www.w3.org/2000/01/rdf-schema#Class,Agent,False,True,Agent,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/Agent,ods:Agent,,
schema:,name,Name,Full name of the agent,,,John Smith,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.name,http://schema.org/,http://schema.org/name,schema:name,string,
schema:,roleName,Role Name,"Indicates the role of the agent, https://schema.org/roleName",,,"collector, preparer, identifier, recorder",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.roleName,http://schema.org/,http://schema.org/roleName,schema:roleName,string,
schema:,startDate,Start Date,Date the agent began the role,,,2023-10-02T12:31:34.806Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.startDate,http://schema.org/,http://schema.org/startDate,schema:startDate,string,
schema:,endDate,End Date,Date the agent ended the role,,,2023-09-02T12:31:34.806Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.endDate,http://schema.org/,http://schema.org/endDate,schema:endDate,string,
ods:,roleOrder,Role Order,Order of the agent in the role. Can be used to indicate the order of importance,,,"1, 2",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.roleOrder,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/roleOrder,ods:roleOrder,integer,
schema:,email,Email,"Email of the agent, can be present in case the agent is a maintainer of a MAS",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.email,http://schema.org/,http://schema.org/email,schema:email,string,
schema:,url,URL,"URL of the agent, can be present in case the agent is a maintainer of a MAS",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.url,http://schema.org/,http://schema.org/url,schema:url,string,
ods:,hasIdentifier,Has Identifier,Contains zero or more ods:Identifier objects,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.hasIdentifier,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/hasIdentifier,ods:hasIdentifier,array<ods:Identifier>,
